date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,outcome,days_ago,home_team_norm,away_team_norm
1872-11-30,Scotland,England,0,0,Friendly,Glasgow,Scotland,False,D,1,56084,Scotland,England
1873-03-08,England,Scotland,4,2,Friendly,London,England,False,H,0,55986,England,Scotland
1874-03-07,Scotland,England,2,1,Friendly,Glasgow,Scotland,False,H,0,55622,Scotland,England
1875-03-06,England,Scotland,2,2,Friendly,London,England,False,D,1,55258,England,Scotland
1876-03-04,Scotland,England,3,0,Friendly,Glasgow,Scotland,False,H,0,54894,Scotland,England
1876-03-25,Scotland,Wales,4,0,Friendly,Glasgow,Scotland,False,H,0,54873,Scotland,Wales
1877-03-03,England,Scotland,1,3,Friendly,London,England,False,A,2,54530,England,Scotland
1877-03-05,Wales,Scotland,0,2,Friendly,Wrexham,Wales,False,A,2,54528,Wales,Scotland
1878-03-02,Scotland,England,7,2,Friendly,Glasgow,Scotland,False,H,0,54166,Scotland,England
1878-03-23,Scotland,Wales,9,0,Friendly,Glasgow,Scotland,False,H,0,54145,Scotland,Wales
1879-01-18,England,Wales,2,1,Friendly,London,England,False,H,0,53844,England,Wales
1879-04-05,England,Scotland,5,4,Friendly,London,England,False,H,0,53767,England,Scotland
1879-04-07,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False,A,2,53765,Wales,Scotland
1880-03-13,Scotland,England,5,4,Friendly,Glasgow,Scotland,False,H,0,53424,Scotland,England
1880-03-15,Wales,England,2,3,Friendly,Wrexham,Wales,False,A,2,53422,Wales,England
1880-03-27,Scotland,Wales,5,1,Friendly,Glasgow,Scotland,False,H,0,53410,Scotland,Wales
1881-02-26,England,Wales,0,1,Friendly,Blackburn,England,False,A,2,53074,England,Wales
1881-03-12,England,Scotland,1,6,Friendly,London,England,False,A,2,53060,England,Scotland
1881-03-14,Wales,Scotland,1,5,Friendly,Wrexham,Wales,False,A,2,53058,Wales,Scotland
1882-02-18,Northern Ireland,England,0,13,Friendly,Belfast,Ireland,False,A,2,52717,Northern Ireland,England
1882-02-25,Wales,Northern Ireland,7,1,Friendly,Wrexham,Wales,False,H,0,52710,Wales,Northern Ireland
1882-03-11,Scotland,England,5,1,Friendly,Glasgow,Scotland,False,H,0,52696,Scotland,England
1882-03-13,Wales,England,5,3,Friendly,Wrexham,Wales,False,H,0,52694,Wales,England
1882-03-25,Scotland,Wales,5,0,Friendly,Glasgow,Scotland,False,H,0,52682,Scotland,Wales
1883-02-03,England,Wales,5,0,Friendly,London,England,False,H,0,52367,England,Wales
1883-02-24,England,Northern Ireland,7,0,Friendly,Liverpool,England,False,H,0,52346,England,Northern Ireland
1883-03-10,England,Scotland,2,3,Friendly,Sheffield,England,False,A,2,52332,England,Scotland
1883-03-12,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False,A,2,52330,Wales,Scotland
1883-03-17,Northern Ireland,Wales,1,1,Friendly,Belfast,Ireland,False,D,1,52325,Northern Ireland,Wales
1884-01-26,Northern Ireland,Scotland,0,5,British Home Championship,Belfast,Ireland,False,A,2,52010,Northern Ireland,Scotland
1884-02-09,Wales,Northern Ireland,6,0,British Home Championship,Wrexham,Wales,False,H,0,51996,Wales,Northern Ireland
1884-02-23,Northern Ireland,England,1,8,British Home Championship,Belfast,Ireland,False,A,2,51982,Northern Ireland,England
1884-03-15,Scotland,England,1,0,British Home Championship,Glasgow,Scotland,False,H,0,51961,Scotland,England
1884-03-17,Wales,England,0,4,British Home Championship,Wrexham,Wales,False,A,2,51959,Wales,England
1884-03-29,Scotland,Wales,4,1,British Home Championship,Glasgow,Scotland,False,H,0,51947,Scotland,Wales
1885-02-28,England,Northern Ireland,4,0,British Home Championship,Manchester,England,False,H,0,51611,England,Northern Ireland
1885-03-14,England,Wales,1,1,British Home Championship,Blackburn,England,False,D,1,51597,England,Wales
1885-03-14,Scotland,Northern Ireland,8,2,British Home Championship,Glasgow,Scotland,False,H,0,51597,Scotland,Northern Ireland
1885-03-21,England,Scotland,1,1,British Home Championship,London,England,False,D,1,51590,England,Scotland
1885-03-23,Wales,Scotland,1,8,British Home Championship,Wrexham,Wales,False,A,2,51588,Wales,Scotland
1885-04-11,Northern Ireland,Wales,2,8,British Home Championship,Belfast,Ireland,False,A,2,51569,Northern Ireland,Wales
1885-11-28,United States,Canada,0,1,Friendly,Newark,United States,False,A,2,51338,United States,Canada
1886-02-27,Wales,Northern Ireland,5,0,British Home Championship,Wrexham,Wales,False,H,0,51247,Wales,Northern Ireland
1886-03-13,Northern Ireland,England,1,6,British Home Championship,Belfast,Ireland,False,A,2,51233,Northern Ireland,England
1886-03-20,Northern Ireland,Scotland,2,7,British Home Championship,Belfast,Ireland,False,A,2,51226,Northern Ireland,Scotland
1886-03-27,Scotland,England,1,1,British Home Championship,Glasgow,Scotland,False,D,1,51219,Scotland,England
1886-03-29,Wales,England,1,3,British Home Championship,Wrexham,Wales,False,A,2,51217,Wales,England
1886-04-10,Scotland,Wales,4,1,British Home Championship,Glasgow,Scotland,False,H,0,51205,Scotland,Wales
1886-11-25,United States,Canada,3,2,Friendly,Newark,United States,False,H,0,50976,United States,Canada
1887-02-05,England,Northern Ireland,7,0,British Home Championship,Sheffield,England,False,H,0,50904,England,Northern Ireland
1887-02-19,Scotland,Northern Ireland,4,1,British Home Championship,Glasgow,Scotland,False,H,0,50890,Scotland,Northern Ireland
1887-02-26,England,Wales,4,0,British Home Championship,London,England,False,H,0,50883,England,Wales
1887-03-12,Northern Ireland,Wales,4,1,British Home Championship,Belfast,Ireland,False,H,0,50869,Northern Ireland,Wales
1887-03-19,England,Scotland,2,3,British Home Championship,Blackburn,England,False,A,2,50862,England,Scotland
1887-03-21,Wales,Scotland,0,2,British Home Championship,Wrexham,Wales,False,A,2,50860,Wales,Scotland
1888-02-04,England,Wales,5,1,British Home Championship,Crewe,England,False,H,0,50540,England,Wales
1888-03-03,Wales,Northern Ireland,11,0,British Home Championship,Wrexham,Wales,False,H,0,50512,Wales,Northern Ireland
1888-03-10,Scotland,Wales,5,1,British Home Championship,Edinburgh,Scotland,False,H,0,50505,Scotland,Wales
1888-03-17,Scotland,England,0,5,British Home Championship,Glasgow,Scotland,False,A,2,50498,Scotland,England
1888-03-24,Northern Ireland,Scotland,2,10,British Home Championship,Belfast,Ireland,False,A,2,50491,Northern Ireland,Scotland
1888-04-07,Northern Ireland,England,1,5,British Home Championship,Belfast,Ireland,False,A,2,50477,Northern Ireland,England
1888-09-19,Scotland,Canada,4,0,Friendly,Glasgow,Scotland,False,H,0,50312,Scotland,Canada
1889-02-23,England,Wales,4,1,British Home Championship,Stoke-on-Trent,England,False,H,0,50155,England,Wales
1889-03-02,England,Northern Ireland,6,1,British Home Championship,Liverpool,England,False,H,0,50148,England,Northern Ireland
1889-03-09,Scotland,Northern Ireland,7,0,British Home Championship,Glasgow,Scotland,False,H,0,50141,Scotland,Northern Ireland
1889-04-13,England,Scotland,2,3,British Home Championship,London,England,False,A,2,50106,England,Scotland
1889-04-15,Wales,Scotland,0,0,British Home Championship,Wrexham,Wales,False,D,1,50104,Wales,Scotland
1889-04-27,Northern Ireland,Wales,1,3,British Home Championship,Belfast,Ireland,False,A,2,50092,Northern Ireland,Wales
1890-02-08,Wales,Northern Ireland,5,2,British Home Championship,Shrewsbury,England,True,H,0,49805,Wales,Northern Ireland
1890-03-15,Northern Ireland,England,1,9,British Home Championship,Belfast,Ireland,False,A,2,49770,Northern Ireland,England
1890-03-15,Wales,England,1,3,British Home Championship,Wrexham,Wales,False,A,2,49770,Wales,England
1890-03-22,Scotland,Wales,5,0,British Home Championship,Paisley,Scotland,False,H,0,49763,Scotland,Wales
1890-03-29,Northern Ireland,Scotland,1,4,British Home Championship,Belfast,Ireland,False,A,2,49756,Northern Ireland,Scotland
1890-04-05,Scotland,England,1,1,British Home Championship,Glasgow,Scotland,False,D,1,49749,Scotland,England
1891-02-07,Northern Ireland,Wales,7,2,British Home Championship,Belfast,Ireland,False,H,0,49441,Northern Ireland,Wales
1891-03-07,England,Wales,4,1,British Home Championship,Sunderland,England,False,H,0,49413,England,Wales
1891-03-07,England,Northern Ireland,6,1,British Home Championship,Wolverhampton,England,False,H,0,49413,England,Northern Ireland
1891-03-21,Wales,Scotland,3,4,British Home Championship,Wrexham,Wales,False,A,2,49399,Wales,Scotland
1891-03-28,Scotland,Northern Ireland,2,1,British Home Championship,Glasgow,Scotland,False,H,0,49392,Scotland,Northern Ireland
1891-04-04,England,Scotland,2,1,British Home Championship,Blackburn,England,False,H,0,49385,England,Scotland
1892-02-27,Wales,Northern Ireland,1,1,British Home Championship,Bangor,Wales,False,D,1,49056,Wales,Northern Ireland
1892-03-05,Northern Ireland,England,0,2,British Home Championship,Belfast,Ireland,False,A,2,49049,Northern Ireland,England
1892-03-05,Wales,England,0,2,British Home Championship,Wrexham,Wales,False,A,2,49049,Wales,England
1892-03-19,Northern Ireland,Scotland,2,3,British Home Championship,Belfast,Ireland,False,A,2,49035,Northern Ireland,Scotland
1892-03-26,Scotland,Wales,6,1,British Home Championship,Edinburgh,Scotland,False,H,0,49028,Scotland,Wales
1892-04-02,Scotland,England,1,4,British Home Championship,Glasgow,Scotland,False,A,2,49021,Scotland,England
1893-02-25,England,Northern Ireland,6,1,British Home Championship,Birmingham,England,False,H,0,48692,England,Northern Ireland
1893-03-13,England,Wales,6,0,British Home Championship,Stoke-on-Trent,England,False,H,0,48676,England,Wales
1893-03-18,Wales,Scotland,0,8,British Home Championship,Wrexham,Wales,False,A,2,48671,Wales,Scotland
1893-03-25,Scotland,Northern Ireland,6,1,British Home Championship,Glasgow,Scotland,False,H,0,48664,Scotland,Northern Ireland
1893-04-01,England,Scotland,5,2,British Home Championship,Richmond,England,False,H,0,48657,England,Scotland
1894-02-24,Wales,Northern Ireland,4,1,British Home Championship,Swansea,Wales,False,H,0,48328,Wales,Northern Ireland
1894-03-03,Northern Ireland,England,2,2,British Home Championship,Belfast,Ireland,False,D,1,48321,Northern Ireland,England
1894-03-12,Wales,England,1,5,British Home Championship,Wrexham,Wales,False,A,2,48312,Wales,England
1894-03-24,Scotland,Wales,5,2,British Home Championship,Kilmarnock,Scotland,False,H,0,48300,Scotland,Wales
1894-03-31,Northern Ireland,Scotland,1,2,British Home Championship,Belfast,Ireland,False,A,2,48293,Northern Ireland,Scotland
1894-04-07,Scotland,England,2,2,British Home Championship,Glasgow,Scotland,False,D,1,48286,Scotland,England
1895-03-09,England,Northern Ireland,9,0,British Home Championship,Derby,England,False,H,0,47950,England,Northern Ireland
1895-03-16,Northern Ireland,Wales,2,2,British Home Championship,Belfast,Ireland,False,D,1,47943,Northern Ireland,Wales
1895-03-18,England,Wales,1,1,British Home Championship,London,England,False,D,1,47941,England,Wales
1895-03-23,Wales,Scotland,2,2,British Home Championship,Wrexham,Wales,False,D,1,47936,Wales,Scotland
1895-03-30,Scotland,Northern Ireland,3,1,British Home Championship,Glasgow,Scotland,False,H,0,47929,Scotland,Northern Ireland
1895-04-06,England,Scotland,3,0,British Home Championship,Liverpool,England,False,H,0,47922,England,Scotland
1896-02-29,Wales,Northern Ireland,6,1,British Home Championship,Wrexham,Wales,False,H,0,47593,Wales,Northern Ireland
